,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Oman,beta,956035.9244788886,1160.0,954893.9324536666,629,29.922394,0.016,1.0,0.016,1.0,7.0169999999999995
1,51633,20,hybrid,1000,216,Bangladesh,delta,993494.1430269673,2620.0,990707.6656193258,803,30.147703,0.016,2.2,0.0352,1.0,3.4690000000000003
2,51633,20,hybrid,1000,216,Bangladesh,delta,993273.3676466648,2260.0,991122.3259801884,931,30.23164,0.016,2.2,0.0352,1.0,3.4690000000000003
3,51633,20,hybrid,1000,216,Gambia,alpha,980607.1327134796,980.0,979555.2564805341,622,22.122625,0.016,1.67,0.02672,1.0,7.228999999999999
4,51633,20,hybrid,1000,216,Gambia,gamma,997598.9487781317,1180.0,996265.0596457367,695,22.041954,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
5,51633,20,hybrid,1000,216,Oman,gamma,1014217.6123077171,1320.0,1013038.8726271086,373,29.91792,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
6,51633,20,hybrid,1000,216,Oman,gamma,1014256.6347200049,1280.0,1013198.5159715462,212,29.994661,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
7,51633,20,hybrid,1000,216,Mozambique,beta,784728.0530993729,1080.0,784030.2159418155,121,22.272137,0.016,1.0,0.016,1.0,3.3659999999999997
8,51633,20,hybrid,1000,216,Oman,gamma,1015583.0474742812,1740.0,1013760.1158229595,714,30.008877,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
9,51633,20,hybrid,1000,216,Oman,gamma,1016703.9137462631,1680.0,1014795.071679803,804,30.183964,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
10,51633,20,hybrid,1000,216,Bangladesh,delta,992091.7202886166,2760.0,989391.6368430867,381,30.156755,0.016,2.2,0.0352,1.0,3.4690000000000003
11,51633,20,hybrid,1000,216,Oman,gamma,1016083.3516164729,1260.0,1014837.901644842,27,30.02377,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
12,51633,20,hybrid,1000,216,Mozambique,alpha,922859.3179639254,1180.0,921448.0591707941,618,22.217222,0.016,1.67,0.02672,1.0,3.3659999999999997
13,51633,20,hybrid,1000,216,Bangladesh,delta,995038.4803182245,2620.0,992409.3988746611,151,30.128414,0.016,2.2,0.0352,1.0,3.4690000000000003
14,51633,20,hybrid,1000,216,Bangladesh,delta,993681.4331216898,2604.533357269155,991154.0454512312,230,30.16097,0.016,2.2,0.0352,1.0,3.4690000000000003
