,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Bangladesh,delta,991825.4496917007,2700.0,989255.5630121931,419,30.089056,0.016,2.2,0.0352,1.0,3.4690000000000003
1,51633,20,hybrid,1000,216,Bangladesh,delta,993205.8600977391,2620.0,990193.3715143512,177,30.139101,0.016,2.2,0.0352,1.0,3.4690000000000003
2,51633,20,hybrid,1000,216,Mozambique,beta,785396.8892726735,840.0,785028.2141893638,88,22.341763,0.016,1.0,0.016,1.0,3.3659999999999997
3,51633,20,hybrid,1000,216,Oman,gamma,1014761.4833505687,1320.0,1013445.6752418051,378,30.009974,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
4,51633,20,hybrid,1000,216,Mozambique,alpha,920932.7875177132,1160.0,919657.4771728385,460,22.45974,0.016,1.67,0.02672,1.0,3.3659999999999997
5,51633,20,hybrid,1000,216,Gambia,alpha,981946.0851335723,1020.0,980873.529096488,446,22.127258,0.016,1.67,0.02672,1.0,7.228999999999999
6,51633,20,hybrid,1000,216,Oman,gamma,1015292.02962634,1460.0,1013830.5318910364,726,30.03324,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
7,51633,20,hybrid,1000,216,Mozambique,beta,779926.5426407006,1300.0,778376.847498446,80,22.30283,0.016,1.0,0.016,1.0,3.3659999999999997
8,51633,20,hybrid,1000,216,Oman,gamma,1014549.3015576605,1420.0,1013184.9929944419,729,29.951593,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
9,51633,20,hybrid,1000,216,Gambia,gamma,999000.2869595145,1000.0,998026.2434378434,596,22.202375,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
10,51633,20,hybrid,1000,216,Bangladesh,delta,994022.4588811962,3100.0,991139.8763601521,852,30.100454,0.016,2.2,0.0352,1.0,3.4690000000000003
11,51633,20,hybrid,1000,216,Bangladesh,delta,994398.1925872554,2580.0,991718.3413500539,327,30.126951,0.016,2.2,0.0352,1.0,3.4690000000000003
12,51633,20,hybrid,1000,216,Bangladesh,delta,992724.7872333897,2880.0000000000005,989982.1463177165,495,30.045368,0.016,2.2,0.0352,1.0,3.4690000000000003
13,51633,20,hybrid,1000,216,Oman,alpha,1005627.643141804,1140.0,1004585.647303163,517,29.946903,0.016,1.67,0.02672,1.0,7.0169999999999995
14,51633,20,hybrid,1000,216,Oman,gamma,1016748.6902380674,1400.0000000000002,1015669.667964504,920,30.102345,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
15,51633,20,hybrid,1000,216,Bangladesh,delta,994167.9519908661,2613.549804254631,991711.7920727889,126,30.35948,0.016,2.2,0.0352,1.0,3.4690000000000003
16,51633,20,hybrid,1000,216,Oman,beta,954931.099711129,1320.0,953379.0244137386,647,29.927515,0.016,1.0,0.016,1.0,7.0169999999999995
17,51633,20,hybrid,1000,216,Mozambique,alpha,919577.1646670892,880.0,918747.7613101392,982,22.30951,0.016,1.67,0.02672,1.0,3.3659999999999997
18,51633,20,hybrid,1000,216,Oman,alpha,1006173.3751336883,1880.0,1004317.9659058326,520,30.036352,0.016,1.67,0.02672,1.0,7.0169999999999995
19,51633,20,hybrid,1000,216,Oman,gamma,1015755.6593868148,1660.0,1014219.7094999037,611,29.949472,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
20,51633,20,hybrid,1000,216,Gambia,alpha,980119.490878785,800.0,979301.7019996323,618,22.142023,0.016,1.67,0.02672,1.0,7.228999999999999
21,51633,20,hybrid,1000,216,Oman,gamma,1015397.6603354688,1000.0,1014473.9517764854,289,29.927517,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
22,51633,20,hybrid,1000,216,Bangladesh,delta,992993.2351562174,2320.0,990605.4122374174,34,30.25419,0.016,2.2,0.0352,1.0,3.4690000000000003
23,51633,20,hybrid,1000,216,Mozambique,beta,775355.3105961473,1000.0,774488.33052225,850,22.166384,0.016,1.0,0.016,1.0,3.3659999999999997
24,51633,20,hybrid,1000,216,Bangladesh,delta,991281.4996093455,2820.0,988715.2148048067,87,29.959982,0.016,2.2,0.0352,1.0,3.4690000000000003
25,51633,20,hybrid,1000,216,Bangladesh,delta,992106.9927359757,2420.0,989765.0980409432,975,30.164774,0.016,2.2,0.0352,1.0,3.4690000000000003
26,51633,20,hybrid,1000,216,Gambia,gamma,998699.5617376646,1440.0,997380.2718927672,130,22.150076,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
27,51633,20,hybrid,1000,216,Oman,gamma,1016567.7258888655,1420.0,1015165.458361306,649,30.12428,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
28,51633,20,hybrid,1000,216,Bangladesh,delta,988649.4205482372,2580.0,986166.015397453,363,29.959957,0.016,2.2,0.0352,1.0,3.4690000000000003
29,51633,20,hybrid,1000,216,Bangladesh,gamma,987517.1639785073,2480.0,985199.4457175263,380,30.007355,0.016,2.05,0.032799999999999996,1.0,3.4690000000000003
