,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Mozambique,beta,788607.2612179565,960.0,787518.9234760951,668,22.241173,0.016,1.0,0.016,1.0,3.3659999999999997
1,51633,20,hybrid,1000,216,Mozambique,beta,784802.3791679483,1179.0309210678886,783669.8383259452,584,22.344482,0.016,1.0,0.016,1.0,3.3659999999999997
2,51633,20,hybrid,1000,216,Mozambique,alpha,925939.0075381409,960.0,924980.549304435,706,22.418022,0.016,1.67,0.02672,1.0,3.3659999999999997
3,51633,20,hybrid,1000,216,Bangladesh,delta,992431.7371973335,2800.0,989819.3238993803,130,30.133278,0.016,2.2,0.0352,1.0,3.4690000000000003
4,51633,20,hybrid,1000,216,Gambia,alpha,979193.1008550215,1160.0,977783.0188196898,366,22.095768,0.016,1.67,0.02672,1.0,7.228999999999999
5,51633,20,hybrid,1000,216,Bangladesh,delta,993771.1736198422,2760.0,991234.5400510993,291,30.293911,0.016,2.2,0.0352,1.0,3.4690000000000003
6,51633,20,hybrid,1000,216,Gambia,delta,1001771.5967169689,1120.0,1000682.7735326191,489,22.224852,0.016,2.2,0.0352,1.0,7.228999999999999
7,51633,20,hybrid,1000,216,Gambia,alpha,979806.6539517364,1000.0,978794.0513206378,552,22.172537,0.016,1.67,0.02672,1.0,7.228999999999999
8,51633,20,hybrid,1000,216,Oman,gamma,1014307.6852222593,1440.0,1012916.9948460655,578,30.014172,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
9,51633,20,hybrid,1000,216,Mozambique,beta,781361.0605940017,1005.159780352,780518.2882741616,973,22.362923,0.016,1.0,0.016,1.0,3.3659999999999997
10,51633,20,hybrid,1000,216,Bangladesh,delta,992735.8565307169,2720.0,990095.4517813264,78,30.161043,0.016,2.2,0.0352,1.0,3.4690000000000003
11,51633,20,hybrid,1000,216,Mozambique,beta,779293.5409150437,1015.31308146688,778329.1762526538,468,22.087273,0.016,1.0,0.016,1.0,3.3659999999999997
12,51633,20,hybrid,1000,216,Oman,gamma,1014394.4371951134,1660.0,1012724.1963116976,702,29.913157,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
13,51633,20,hybrid,1000,216,Mozambique,beta,782557.5932509277,1120.0,781070.0267817392,1000,22.333252,0.016,1.0,0.016,1.0,3.3659999999999997
14,51633,20,hybrid,1000,216,Mozambique,beta,782159.5693160747,1060.0,781454.1313486495,539,22.287518,0.016,1.0,0.016,1.0,3.3659999999999997
15,51633,20,hybrid,1000,216,Bangladesh,gamma,986935.9250437013,3000.0,983981.8501182063,565,30.298512,0.016,2.05,0.032799999999999996,1.0,3.4690000000000003
16,51633,20,hybrid,1000,216,Bangladesh,delta,995444.4293323323,2900.0,992678.6197066427,900,30.113548,0.016,2.2,0.0352,1.0,3.4690000000000003
17,51633,20,hybrid,1000,216,Mozambique,beta,791312.6214728281,1406.1917364224,790511.6394000265,518,22.260103,0.016,1.0,0.016,1.0,3.3659999999999997
18,51633,20,hybrid,1000,216,Oman,gamma,1014147.7304437447,1320.0,1012956.4784621904,430,29.993843,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
19,51633,20,hybrid,1000,216,Oman,gamma,1013662.3643603541,1420.0,1012326.807153059,295,30.073778,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
20,51633,20,hybrid,1000,216,Oman,alpha,1006403.1132259807,1540.0,1004686.7379546714,272,29.980448,0.016,1.67,0.02672,1.0,7.0169999999999995
