,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Gambia,alpha,981993.8491642647,1200.0,980871.7489386445,200,22.203733,0.016,1.67,0.02672,1.0,7.228999999999999
1,51633,20,hybrid,1000,216,Mozambique,beta,779646.8719180902,980.0,778654.6512256693,206,22.267197,0.016,1.0,0.016,1.0,3.3659999999999997
2,51633,20,hybrid,1000,216,Bangladesh,delta,992806.7438189012,2900.0,990095.7047103471,140,30.232569,0.016,2.2,0.0352,1.0,3.4690000000000003
3,51633,20,hybrid,1000,216,Oman,gamma,1015819.0897038963,1380.0,1014509.5769459843,581,29.999557,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
4,51633,20,hybrid,1000,216,Oman,gamma,1015989.9845431237,1319.7641946309764,1014664.3524806743,191,30.145168,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
5,51633,20,hybrid,1000,216,Gambia,alpha,980753.5131401822,1000.0,979739.6613619544,813,22.182972,0.016,1.67,0.02672,1.0,7.228999999999999
6,51633,20,hybrid,1000,216,Gambia,alpha,980494.5831989361,1020.0,979399.6193395931,917,22.290565,0.016,1.67,0.02672,1.0,7.228999999999999
7,51633,20,hybrid,1000,216,Oman,gamma,1014997.8133683209,1440.0,1013593.5052570293,321,30.075682,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
8,51633,20,hybrid,1000,216,Gambia,alpha,983173.0886427071,1060.0,982078.8556116315,833,22.299545,0.016,1.67,0.02672,1.0,7.228999999999999
9,51633,20,hybrid,1000,216,Gambia,alpha,980772.8344844948,1260.0,979408.694719776,382,22.186993,0.016,1.67,0.02672,1.0,7.228999999999999
10,51633,20,hybrid,1000,216,Oman,gamma,1015525.4446327239,1640.0,1013900.5159080978,739,29.941973,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
