,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Mozambique,beta,785968.9717821795,900.0,785007.9944987483,520,22.389954,0.016,1.0,0.016,1.0,3.3659999999999997
1,51633,20,hybrid,1000,216,Mozambique,beta,787408.2342222194,1338.4884258895036,786442.8788326948,868,22.202559,0.016,1.0,0.016,1.0,3.3659999999999997
2,51633,20,hybrid,1000,216,Oman,gamma,1014729.9717043252,1320.0000000000002,1013517.4094965284,895,29.909939,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
3,51633,20,hybrid,1000,216,Mozambique,beta,790530.4213167031,1123.5831808,788885.610841588,908,22.350636,0.016,1.0,0.016,1.0,3.3659999999999997
4,51633,20,hybrid,1000,216,Mozambique,beta,774040.1920911686,1240.0,773088.5496451894,400,22.243935,0.016,1.0,0.016,1.0,3.3659999999999997
5,51633,20,hybrid,1000,216,Oman,gamma,1015126.1483290143,1480.0,1013479.241418816,645,29.929691,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
6,51633,20,hybrid,1000,216,Gambia,alpha,981051.0769516331,1280.0,979929.3109592956,296,22.195744,0.016,1.67,0.02672,1.0,7.228999999999999
7,51633,20,hybrid,1000,216,Oman,gamma,1013662.3643603541,1420.0,1012326.807153059,295,30.073778,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
8,51633,20,hybrid,1000,216,Oman,gamma,1014768.1091386767,1440.0,1013230.5740726702,286,29.843706,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
9,51633,20,hybrid,1000,216,Bangladesh,delta,990092.8332817238,2800.0,987641.1893717981,712,30.09102,0.016,2.2,0.0352,1.0,3.4690000000000003
10,51633,20,hybrid,1000,216,Bangladesh,beta,875008.4037287873,2092.839184645489,872993.070739701,415,30.301926,0.016,1.0,0.016,1.0,3.4690000000000003
11,51633,20,hybrid,1000,216,Bangladesh,delta,992700.6014047554,2960.0,989653.3127171372,11,30.095459,0.016,2.2,0.0352,1.0,3.4690000000000003
12,51633,20,hybrid,1000,216,Mozambique,beta,783703.5345465242,920.0,782655.3026654334,909,22.289019,0.016,1.0,0.016,1.0,3.3659999999999997
13,51633,20,hybrid,1000,216,Gambia,delta,1004713.6176885244,900.0,1003982.6832991758,126,22.395658,0.016,2.2,0.0352,1.0,7.228999999999999
14,51633,20,hybrid,1000,216,Gambia,alpha,980548.5456123173,1140.0,979452.2473313406,706,22.32256,0.016,1.67,0.02672,1.0,7.228999999999999
15,51633,20,hybrid,1000,216,Mozambique,beta,788934.7159620854,807.4300837068799,788293.9860544715,781,22.30034,0.016,1.0,0.016,1.0,3.3659999999999997
16,51633,20,hybrid,1000,216,Mozambique,gamma,953128.2294499738,1140.0,951912.6334185668,581,22.33581,0.016,2.05,0.032799999999999996,1.0,3.3659999999999997
17,51633,20,hybrid,1000,216,Mozambique,beta,786685.7592264456,1160.0,785333.9667166504,70,22.259779,0.016,1.0,0.016,1.0,3.3659999999999997
18,51633,20,hybrid,1000,216,Oman,alpha,1004817.8055961237,1320.0,1003597.9795518902,170,29.918018,0.016,1.67,0.02672,1.0,7.0169999999999995
19,51633,20,hybrid,1000,216,Oman,alpha,1005282.4876429823,1200.0,1004086.694840865,224,29.948004,0.016,1.67,0.02672,1.0,7.0169999999999995
20,51633,20,hybrid,1000,216,Gambia,alpha,981570.4034328512,1060.0,980764.2764523198,985,22.209116,0.016,1.67,0.02672,1.0,7.228999999999999
21,51633,20,hybrid,1000,216,Bangladesh,delta,994891.9040239102,2360.0,992545.2575462838,959,30.199596,0.016,2.2,0.0352,1.0,3.4690000000000003
22,51633,20,hybrid,1000,216,Gambia,beta,903971.5786050182,1080.0,903468.1470949673,674,22.238644,0.016,1.0,0.016,1.0,7.228999999999999
23,51633,20,hybrid,1000,216,Oman,gamma,1015116.5324845882,1540.0,1013645.6924963584,130,29.941278,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
24,51633,20,hybrid,1000,216,Mozambique,beta,787308.5703785904,1000.0,786424.7307662644,851,22.335396,0.016,1.0,0.016,1.0,3.3659999999999997
25,51633,20,hybrid,1000,216,Bangladesh,delta,992484.8819863464,2520.0,989953.4411073525,282,30.134306,0.016,2.2,0.0352,1.0,3.4690000000000003
26,51633,20,hybrid,1000,216,Oman,gamma,1013931.1431585937,1420.0,1012413.1128587548,380,29.846159,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
27,51633,20,hybrid,1000,216,Oman,gamma,1014831.8377404914,1640.0,1013094.8030486526,910,29.99815,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
28,51633,20,hybrid,1000,216,Gambia,alpha,983503.3962287208,1040.0,982227.1259857437,910,22.268724,0.016,1.67,0.02672,1.0,7.228999999999999
29,51633,20,hybrid,1000,216,Oman,gamma,1014849.1262845634,1220.0,1013624.7094658857,500,30.009142,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
30,51633,20,hybrid,1000,216,Mozambique,beta,781013.4338529732,1000.0,779849.3695589055,980,22.201189,0.016,1.0,0.016,1.0,3.3659999999999997
