,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Mozambique,delta,960354.831837639,1620.0,958686.7887101443,709,22.360266,0.016,2.2,0.0352,1.0,3.3659999999999997
1,51633,20,hybrid,1000,216,Oman,gamma,1015717.921981499,1400.0,1014267.0029355197,816,30.044325,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
2,51633,20,hybrid,1000,216,Bangladesh,alpha,968758.6944259972,2640.0,966130.663687098,686,30.227322,0.016,1.67,0.02672,1.0,3.4690000000000003
3,51633,20,hybrid,1000,216,Gambia,alpha,981139.2020158954,1000.0,980029.6267517672,656,22.155706,0.016,1.67,0.02672,1.0,7.228999999999999
4,51633,20,hybrid,1000,216,Mozambique,beta,780512.3736731044,870.6993205379072,779503.0951421423,56,22.30188,0.016,1.0,0.016,1.0,3.3659999999999997
5,51633,20,hybrid,1000,216,Gambia,alpha,980103.8146599382,1040.0,979313.4811839259,109,22.155386,0.016,1.67,0.02672,1.0,7.228999999999999
6,51633,20,hybrid,1000,216,Oman,gamma,1014873.4229147064,1440.0,1013430.458590165,512,29.959503,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
7,51633,20,hybrid,1000,216,Bangladesh,beta,874684.0539044805,2040.0,873007.3957332439,131,30.231722,0.016,1.0,0.016,1.0,3.4690000000000003
8,51633,20,hybrid,1000,216,Oman,gamma,1014620.1144262326,1380.0,1013272.8151508922,764,29.967554,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
9,51633,20,hybrid,1000,216,Gambia,alpha,980585.2294323959,1220.0,979593.440829893,953,22.166643,0.016,1.67,0.02672,1.0,7.228999999999999
10,51633,20,hybrid,1000,216,Oman,gamma,1014499.2510783391,1520.0,1012949.209403251,529,29.937054,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
11,51633,20,hybrid,1000,216,Oman,gamma,1014514.347765926,1260.0,1013373.9382082928,722,29.874632,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
12,51633,20,hybrid,1000,216,Gambia,alpha,981610.1734222579,1140.0,980321.6761626818,939,22.096416,0.016,1.67,0.02672,1.0,7.228999999999999
13,51633,20,hybrid,1000,216,Oman,delta,1017527.2526449598,1380.0,1016145.2393961181,639,29.956188,0.016,2.2,0.0352,1.0,7.0169999999999995
14,51633,20,hybrid,1000,216,Mozambique,beta,781173.093552591,862.0735999999999,779931.4040502819,308,22.15415,0.016,1.0,0.016,1.0,3.3659999999999997
15,51633,20,hybrid,1000,216,Gambia,alpha,979784.1234545717,1040.0,978833.7508550626,752,22.045294,0.016,1.67,0.02672,1.0,7.228999999999999
16,51633,20,hybrid,1000,216,Oman,alpha,1005305.9251792761,1700.0,1003972.3391281783,853,30.071493,0.016,1.67,0.02672,1.0,7.0169999999999995
17,51633,20,hybrid,1000,216,Mozambique,beta,790530.4213167031,1123.5831808,788885.610841588,908,22.350636,0.016,1.0,0.016,1.0,3.3659999999999997
18,51633,20,hybrid,1000,216,Gambia,alpha,983009.5431910099,1000.0,981987.168622908,465,22.216974,0.016,1.67,0.02672,1.0,7.228999999999999
19,51633,20,hybrid,1000,216,Oman,beta,957597.1410642413,1160.0,956646.6364110422,296,29.954624,0.016,1.0,0.016,1.0,7.0169999999999995
20,51633,20,hybrid,1000,216,Bangladesh,beta,873150.1164403256,2386.1917364224,871205.8554300356,47,30.263353,0.016,1.0,0.016,1.0,3.4690000000000003
21,51633,20,hybrid,1000,216,Bangladesh,alpha,967964.8151162068,2840.0,965242.5701515172,540,30.169989,0.016,1.67,0.02672,1.0,3.4690000000000003
22,51633,20,hybrid,1000,216,Bangladesh,delta,993095.2080992942,2220.0,990853.9879744516,411,30.244524,0.016,2.2,0.0352,1.0,3.4690000000000003
23,51633,20,hybrid,1000,216,Gambia,alpha,981993.8491642647,1200.0,980871.7489386445,200,22.203733,0.016,1.67,0.02672,1.0,7.228999999999999
24,51633,20,hybrid,1000,216,Mozambique,beta,775535.6363787071,940.0,774273.5377593711,997,22.131557,0.016,1.0,0.016,1.0,3.3659999999999997
25,51633,20,hybrid,1000,216,Gambia,alpha,980398.2365578101,1020.0,979307.9572678909,259,22.30931,0.016,1.67,0.02672,1.0,7.228999999999999
26,51633,20,hybrid,1000,216,Gambia,alpha,980054.0562192021,960.0,979216.9865533984,968,22.244614,0.016,1.67,0.02672,1.0,7.228999999999999
27,51633,20,hybrid,1000,216,Bangladesh,delta,991922.2479797758,2780.0,989235.1792347778,645,30.096289,0.016,2.2,0.0352,1.0,3.4690000000000003
28,51633,20,hybrid,1000,216,Gambia,gamma,996985.2706666267,780.0,996209.8155837476,563,22.317299,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
29,51633,20,hybrid,1000,216,Mozambique,beta,786643.6672414619,960.0,785815.5858787824,837,22.339827,0.016,1.0,0.016,1.0,3.3659999999999997
30,51633,20,hybrid,1000,216,Gambia,alpha,981806.6116024312,1160.0,980629.6437779171,230,22.170368,0.016,1.67,0.02672,1.0,7.228999999999999
31,51633,20,hybrid,1000,216,Bangladesh,delta,991597.7857415217,2540.0,989040.2837875984,508,30.328415,0.016,2.2,0.0352,1.0,3.4690000000000003
32,51633,20,hybrid,1000,216,Mozambique,delta,959663.9576715917,1220.0,958460.0728868532,785,22.205204,0.016,2.2,0.0352,1.0,3.3659999999999997
33,51633,20,hybrid,1000,216,Oman,gamma,1014647.2337948789,1540.0,1013163.5738214192,444,30.054869,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
34,51633,20,hybrid,1000,216,Bangladesh,gamma,987089.8879246949,2480.0,984738.3238634737,666,30.092659,0.016,2.05,0.032799999999999996,1.0,3.4690000000000003
35,51633,20,hybrid,1000,216,Mozambique,beta,786556.2186515159,880.0,785622.0000783347,302,22.355206,0.016,1.0,0.016,1.0,3.3659999999999997
36,51633,20,hybrid,1000,216,Oman,gamma,1014766.6861846275,1320.0,1013566.3615915389,418,30.111002,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
37,51633,20,hybrid,1000,216,Gambia,alpha,979589.3495215864,1060.0,978618.4034836452,567,22.090143,0.016,1.67,0.02672,1.0,7.228999999999999
38,51633,20,hybrid,1000,216,Oman,alpha,1005511.9610061584,1240.0,1004396.9055701923,425,30.001167,0.016,1.67,0.02672,1.0,7.0169999999999995
39,51633,20,hybrid,1000,216,Gambia,alpha,981728.909764914,940.0000000000001,980738.0357834871,620,22.136143,0.016,1.67,0.02672,1.0,7.228999999999999
40,51633,20,hybrid,1000,216,Gambia,alpha,980128.0983358414,1080.0,978894.4634981792,838,22.205318,0.016,1.67,0.02672,1.0,7.228999999999999
41,51633,20,hybrid,1000,216,Bangladesh,delta,992351.4212675327,2360.0,990067.0240253219,337,30.088163,0.016,2.2,0.0352,1.0,3.4690000000000003
42,51633,20,hybrid,1000,216,Gambia,alpha,982538.3539429626,900.0,981709.1373562523,147,22.259956,0.016,1.67,0.02672,1.0,7.228999999999999
43,51633,20,hybrid,1000,216,Mozambique,delta,960520.5647878578,1360.0,959363.8782060922,35,22.164305,0.016,2.2,0.0352,1.0,3.3659999999999997
44,51633,20,hybrid,1000,216,Mozambique,beta,778524.686512619,740.0,777117.2229855803,124,22.143744,0.016,1.0,0.016,1.0,3.3659999999999997
