,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
0,51633,20,hybrid,1000,216,Oman,gamma,1015308.7632550607,1500.0,1013954.92600757,216,30.059431,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
1,51633,20,hybrid,1000,216,Oman,gamma,1016073.0011678414,1520.0,1014750.7309710936,12,29.984228,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
2,51633,20,hybrid,1000,216,Bangladesh,delta,992653.48303003,2400.0,990071.8654387259,204,30.028408,0.016,2.2,0.0352,1.0,3.4690000000000003
3,51633,20,hybrid,1000,216,Bangladesh,alpha,967634.8303297686,3156.1266233045217,964587.5732119733,409,30.141806,0.016,1.67,0.02672,1.0,3.4690000000000003
4,51633,20,hybrid,1000,216,Gambia,gamma,997888.3890411755,1040.0,996882.4737832306,667,22.20982,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
5,51633,20,hybrid,1000,216,Oman,beta,958231.9963294908,1460.0,956637.7129359365,119,29.906063,0.016,1.0,0.016,1.0,7.0169999999999995
6,51633,20,hybrid,1000,216,Gambia,alpha,980873.2452659748,1220.0,979489.8852241687,120,22.080061,0.016,1.67,0.02672,1.0,7.228999999999999
7,51633,20,hybrid,1000,216,Bangladesh,delta,992018.4115147206,2640.0,989336.0049977694,942,30.103931,0.016,2.2,0.0352,1.0,3.4690000000000003
8,51633,20,hybrid,1000,216,Bangladesh,delta,993651.5099178075,2680.0,991343.5836382064,195,30.100986,0.016,2.2,0.0352,1.0,3.4690000000000003
9,51633,20,hybrid,1000,216,Mozambique,beta,783459.6749831266,980.0,782378.7049278282,313,22.290064,0.016,1.0,0.016,1.0,3.3659999999999997
10,51633,20,hybrid,1000,216,Gambia,alpha,982138.5264059503,880.0,981322.8124835736,317,22.160793,0.016,1.67,0.02672,1.0,7.228999999999999
11,51633,20,hybrid,1000,216,Bangladesh,delta,992513.1231145448,2520.0,989968.6139589493,383,30.158833,0.016,2.2,0.0352,1.0,3.4690000000000003
12,51633,20,hybrid,1000,216,Mozambique,delta,958955.8943542723,1120.0,957921.2488627742,180,22.155785,0.016,2.2,0.0352,1.0,3.3659999999999997
13,51633,20,hybrid,1000,216,Bangladesh,delta,992673.9466341573,2700.0,990192.666694676,29,30.2712,0.016,2.2,0.0352,1.0,3.4690000000000003
14,51633,20,hybrid,1000,216,Mozambique,beta,789813.7658720323,740.0,789257.4759364353,368,22.339586,0.016,1.0,0.016,1.0,3.3659999999999997
15,51633,20,hybrid,1000,216,Bangladesh,delta,991718.3143882169,2800.0,988608.0437748561,639,30.156126,0.016,2.2,0.0352,1.0,3.4690000000000003
16,51633,20,hybrid,1000,216,Bangladesh,delta,992823.7362924041,2520.0,990099.3077823371,889,30.138594,0.016,2.2,0.0352,1.0,3.4690000000000003
17,51633,20,hybrid,1000,216,Bangladesh,delta,991886.3079688777,2940.0,989052.4364446602,272,30.207823,0.016,2.2,0.0352,1.0,3.4690000000000003
18,51633,20,hybrid,1000,216,Bangladesh,delta,992254.5800635847,2940.0,989509.8743698449,373,30.094963,0.016,2.2,0.0352,1.0,3.4690000000000003
19,51633,20,hybrid,1000,216,Mozambique,beta,784142.0083190915,1320.0,782751.743819774,863,22.246605,0.016,1.0,0.016,1.0,3.3659999999999997
20,51633,20,hybrid,1000,216,Oman,gamma,1014650.9288847164,1480.0,1013339.4952747748,865,29.82947,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
21,51633,20,hybrid,1000,216,Oman,gamma,1015358.4098046706,1820.0,1013398.2919272492,137,29.994968,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
