,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
793,51633,20,hybrid,1000,216,Gambia,alpha,980250.2995779169,860.0,979434.2984941846,468,21.998266,0.016,1.67,0.02672,1.0,7.228999999999999
794,51633,20,hybrid,1000,216,Oman,alpha,1006241.0609561619,1040.0,1005126.0753680591,743,30.103672,0.016,1.67,0.02672,1.0,7.0169999999999995
795,51633,20,hybrid,1000,216,Oman,gamma,1015063.6285777034,1500.0,1013392.3970411108,197,29.902548,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
796,51633,20,hybrid,1000,216,Oman,delta,1017583.0805351275,1620.0,1016096.6337399762,193,30.02839,0.016,2.2,0.0352,1.0,7.0169999999999995
797,51633,20,hybrid,1000,216,Mozambique,beta,792163.8730635052,920.0,791667.5219650266,460,22.45974,0.016,1.0,0.016,1.0,3.3659999999999997
798,51633,20,hybrid,1000,216,Gambia,beta,899926.2559207552,1040.0,899043.8042557214,958,22.297985,0.016,1.0,0.016,1.0,7.228999999999999
799,51633,20,hybrid,1000,216,Bangladesh,delta,993807.0020809574,2640.0,991236.5152366736,421,30.096525,0.016,2.2,0.0352,1.0,3.4690000000000003
800,51633,20,hybrid,1000,216,Oman,gamma,1015657.5357630608,1620.0,1014187.7491660056,925,29.968184,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
801,51633,20,hybrid,1000,216,Oman,alpha,1006933.2335582571,1340.0,1005438.5597411545,92,30.078802,0.016,1.67,0.02672,1.0,7.0169999999999995
802,51633,20,hybrid,1000,216,Gambia,alpha,982525.3720203072,1160.0,981769.5811749499,678,22.28136,0.016,1.67,0.02672,1.0,7.228999999999999
803,51633,20,hybrid,1000,216,Bangladesh,delta,991773.1935394211,2400.0,989302.7518931611,197,30.070263,0.016,2.2,0.0352,1.0,3.4690000000000003
804,51633,20,hybrid,1000,216,Gambia,beta,895476.9639055707,920.0,894511.3237187162,318,22.214596,0.016,1.0,0.016,1.0,7.228999999999999
805,51633,20,hybrid,1000,216,Oman,delta,1017144.753639272,1440.0,1015805.8685378486,211,29.978708,0.016,2.2,0.0352,1.0,7.0169999999999995
806,51633,20,hybrid,1000,216,Mozambique,alpha,926784.1750206037,1220.0,925341.5109521319,474,22.248623,0.016,1.67,0.02672,1.0,3.3659999999999997
807,51633,20,hybrid,1000,216,Oman,gamma,1015525.8649307473,1200.0,1014483.509503098,156,29.994326,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
808,51633,20,hybrid,1000,216,Oman,gamma,1016902.1111106658,1740.0,1015174.1826729458,450,30.022308,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
809,51633,20,hybrid,1000,216,Gambia,alpha,979250.5687576387,740.0000000000001,978379.6661448878,391,22.058527,0.016,1.67,0.02672,1.0,7.228999999999999
810,51633,20,hybrid,1000,216,Mozambique,beta,783460.4997131879,1000.0,782077.7523891567,523,22.290403,0.016,1.0,0.016,1.0,3.3659999999999997
811,51633,20,hybrid,1000,216,Mozambique,beta,785694.9056986162,1000.0,784790.565178405,872,22.25659,0.016,1.0,0.016,1.0,3.3659999999999997
812,51633,20,hybrid,1000,216,Oman,alpha,1004785.9957971117,1460.0,1003338.2977755414,447,30.019732,0.016,1.67,0.02672,1.0,7.0169999999999995
813,51633,20,hybrid,1000,216,Gambia,beta,903085.3657294463,1180.0,902134.3895327252,452,22.287956,0.016,1.0,0.016,1.0,7.228999999999999
814,51633,20,hybrid,1000,216,Mozambique,alpha,920581.6034398768,1200.0,919368.4690896275,406,22.263498,0.016,1.67,0.02672,1.0,3.3659999999999997
815,51633,20,hybrid,1000,216,Gambia,alpha,977492.7216193773,880.0,976548.1925757659,50,22.124653,0.016,1.67,0.02672,1.0,7.228999999999999
816,51633,20,hybrid,1000,216,Bangladesh,beta,872126.068189552,2180.0,870157.4959511238,315,30.24748,0.016,1.0,0.016,1.0,3.4690000000000003
817,51633,20,hybrid,1000,216,Oman,gamma,1016429.5478751232,1840.0,1014484.4539488193,440,29.980055,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
818,51633,20,hybrid,1000,216,Bangladesh,delta,993318.3340352906,2200.0,991088.7159862599,33,30.264126,0.016,2.2,0.0352,1.0,3.4690000000000003
819,51633,20,hybrid,1000,216,Bangladesh,delta,991826.4372371729,2800.0,988940.1157949594,962,30.09487,0.016,2.2,0.0352,1.0,3.4690000000000003
820,51633,20,hybrid,1000,216,Bangladesh,delta,992807.4818818399,2640.0,990058.6092020562,116,30.244595,0.016,2.2,0.0352,1.0,3.4690000000000003
821,51633,20,hybrid,1000,216,Gambia,alpha,981665.225990277,1260.0,980552.6218464752,760,22.244684,0.016,1.67,0.02672,1.0,7.228999999999999
822,51633,20,hybrid,1000,216,Mozambique,beta,779151.8543414888,1344.29981696,777656.9181792091,912,22.175451,0.016,1.0,0.016,1.0,3.3659999999999997
823,51633,20,hybrid,1000,216,Bangladesh,delta,993138.4597077463,2620.0,990574.3891700417,499,30.2007,0.016,2.2,0.0352,1.0,3.4690000000000003
824,51633,20,hybrid,1000,216,Gambia,gamma,998296.5396438856,1020.0000000000001,997350.5030464277,166,22.255127,0.016,2.05,0.032799999999999996,1.0,7.228999999999999
825,51633,20,hybrid,1000,216,Mozambique,beta,788714.5891965905,1052.8391846454888,788013.1484093429,268,22.38943,0.016,1.0,0.016,1.0,3.3659999999999997
826,51633,20,hybrid,1000,216,Mozambique,beta,785651.673528636,940.0,784698.5006495065,152,22.365993,0.016,1.0,0.016,1.0,3.3659999999999997
827,51633,20,hybrid,1000,216,Mozambique,gamma,949149.9359303961,1160.0,948042.3296557392,410,22.216051,0.016,2.05,0.032799999999999996,1.0,3.3659999999999997
828,51633,20,hybrid,1000,216,Oman,gamma,1015711.3262838032,1460.0,1014255.9035111842,221,30.002481,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
829,51633,20,hybrid,1000,216,Mozambique,beta,781912.3315436023,1000.0,781090.7578629662,841,22.381626,0.016,1.0,0.016,1.0,3.3659999999999997
830,51633,20,hybrid,1000,216,Mozambique,beta,786305.5102208211,1460.0,785181.8161047027,372,22.300898,0.016,1.0,0.016,1.0,3.3659999999999997
831,51633,20,hybrid,1000,216,Bangladesh,alpha,970680.9508672779,2855.7083316504495,967859.4856871843,800,30.186405,0.016,1.67,0.02672,1.0,3.4690000000000003
832,51633,20,hybrid,1000,216,Oman,gamma,1014762.6396951803,1400.0,1013350.0614651289,933,29.819284,0.016,2.05,0.032799999999999996,1.0,7.0169999999999995
